Date,BTC_Close,BTC_Volume,BTC_transactions,BTC_interesst,gold_Close,gold_Volume,gold_Chg%,oil_Close,oil_Volume,VIX_Close,SP500_Close index
2014-12-01,376.13218,0.06,79098.0,3,1332.5,5520.0,0.032,69.0,504122.0,14.29,2053.44
2014-12-02,377.862,15.01,99419.0,3,1314.7,1240.0,-0.0134,66.879997,360300.0,12.85,2066.55
2014-12-03,382.452,0.55,99419.0,3,1325.8,440.0,0.0084,67.379997,293483.0,12.47,2074.33
2014-12-04,376.382,0.01,99419.0,3,1324.2,360.0,-0.0012,66.809998,237011.0,12.38,2071.92
2014-12-05,368.3618,0.0,90900.0,3,1310.8,560.0,-0.0101,65.839996,276529.0,11.82,2075.37
2014-12-08,373.155,0.24,90746.0,3,1314.4,180.0,0.0027,63.049999,330077.0,14.21,2060.31
2014-12-09,357.884,0.0,90746.0,3,1350.2,310.0,0.027200000000000002,63.82,322804.0,14.89,2059.82
2014-12-10,348.898,0.02,90746.0,3,1345.5,310.0,-0.0034999999999999996,60.939999,456172.0,18.53,2026.14
2014-12-11,341.041,0.0,84005.0,3,1342.3,260.0,-0.0024,59.950001,392493.0,20.08,2035.33
2014-12-12,348.272,3.15,84005.0,3,1333.5,200.0,-0.0066,57.810001,414224.0,21.08,2002.33
2014-12-15,348.674,0.0,79703.0,3,1317.7,80.0,-0.0118,55.91,424946.0,20.42,1989.63
2014-12-16,338.547,0.0,79703.0,3,1302.0,220.0,-0.011899999999999999,55.93,518784.0,23.57,1972.74
2014-12-17,330.536,0.0,98444.0,3,1302.3,90.0,0.0002,56.470001,351977.0,19.44,2012.89
2014-12-18,317.405,2.0,98444.0,3,1303.9,200.0,0.0012,54.110001,106315.0,16.81,2061.23
2014-12-19,306.45999,0.0,98444.0,3,1305.6,100.0,0.0013,56.52,383536.0,16.49,2070.65
2014-12-22,320.03499,0.0,86901.0,3,1289.7,220.0,-0.012199999999999999,55.259998,277319.0,15.25,2078.54
2014-12-23,328.701,0.0,99469.0,3,1289.7,230.0,0.0,57.119999,274003.0,14.8,2082.17
2014-12-26,318.563,0.0,76198.0,3,1307.7,120.0,0.111,54.73,127202.0,14.5,2088.77
2014-12-29,315.64,0.0,83447.0,3,1292.9,60.0,-0.0113,53.610001,241378.0,15.06,2090.57
2014-12-30,313.994,0.0,83447.0,3,1311.9,190.0,0.0147,54.119999,218557.0,15.92,2080.35
2014-12-31,309.903,0.0,83447.0,3,1295.4,90.0,0.0179,53.27,233516.0,19.2,2058.9
2015-01-02,314.49899,0.0,59344.0,3,1297.7,140.0,0.12710000000000002,52.689999,268708.0,17.79,2058.2
2015-01-05,270.813,0.0,85694.0,3,1313.5,0.0,0.0118,50.040001,375782.0,19.92,2020.58
2015-01-06,272.0175,0.0,85694.0,3,1322.2,100.0,0.0064,47.93,451642.0,21.12,2002.61
2015-01-07,283.84125,0.0,89916.0,3,1313.6,30.0,-0.0063,48.650002,460083.0,19.31,2025.9
2015-01-08,290.485,10.35,89916.0,3,1311.6,90.0,-0.0015,48.790001,362081.0,17.01,2062.14
2015-01-09,281.03625,0.0,89916.0,3,1317.4,40.0,0.0043,48.360001,421007.0,17.55,2044.81
2015-01-12,268.10199,0.0,104874.0,3,1333.2,0.0,0.0116,46.07,394946.0,19.6,2028.26
2015-01-13,243.081,1.0,102309.0,3,1334.5,0.0,0.0009,45.889999,476541.0,20.56,2023.03
2015-01-14,219.128,11.3,102309.0,3,1324.5,20.0,-0.0073,48.48,510252.0,21.48,2011.27
2015-01-15,193.3511,2.87,102309.0,3,1352.8,0.0,0.0207,46.25,478340.0,22.39,1992.67
2015-01-16,220.5745,4.8,104699.0,3,1364.9,40.0,0.0087,48.689999,175626.0,20.95,2019.42
2015-01-20,211.5401,0.02,98485.0,3,1377.4,0.0,0.107,46.389999,438892.0,19.89,2022.55
2015-01-21,212.28249,0.16,98485.0,3,1378.4,0.0,0.0007000000000000001,47.779999,340252.0,18.85,2032.12
2015-01-22,230.6754,4.36,93698.0,3,1390.2,130.0,0.0083,46.310001,426829.0,16.4,2063.15
2015-01-23,226.30419,0.18,93698.0,3,1382.6,20.0,-0.0053,45.59,374289.0,16.66,2051.82
2015-01-26,283.59769,5152.24,86558.0,3,1370.6,30.0,-0.0085,45.150002,310638.0,15.52,2057.09
2015-01-27,258.5374,1647.55,86558.0,3,1379.7,20.0,0.006500000000000001,46.23,313141.0,17.22,2029.55
2015-01-28,257.447,5160.3,85232.0,3,1367.2,30.0,-0.0088,44.450001,365440.0,20.44,2002.16
2015-01-29,235.948,6661.74,85232.0,3,1328.8,0.0,-0.0274,44.529999,300732.0,18.76,2021.25
2015-01-30,233.141,5699.69,85232.0,3,1349.6,8630.0,0.015300000000000001,48.240002,454142.0,20.97,1994.99
2015-02-02,229.80441,7156.24,86312.0,3,1347.4,1650.0,-0.0016,49.57,511409.0,19.43,2020.85
2015-02-03,237.65175,8565.02,91793.0,3,1332.3,2380.0,-0.0109,53.049999,644919.0,17.33,2050.03
2015-02-04,225.83858,9103.19,91793.0,3,1263.8,0.0,0.0045000000000000005,48.450001,577515.0,18.33,2041.51
2015-02-05,226.554,7522.28,91793.0,3,1336.9,130.0,-0.013500000000000002,50.48,596851.0,16.85,2062.52
2015-02-06,219.75625,5638.26,85705.0,3,1314.6,430.0,-0.0165,51.689999,584976.0,17.29,2055.47
2015-02-09,222.78408,6525.33,104758.0,3,1321.9,320.0,0.0055000000000000005,52.860001,536364.0,18.55,2046.74
2015-02-10,220.16725,5450.37,104758.0,3,1313.2,230.0,-0.006500000000000001,50.02,501701.0,17.23,2068.59
2015-02-11,223.00366,8877.19,104758.0,3,1301.2,100.0,-0.009000000000000001,48.84,519272.0,16.96,2068.53
2015-02-12,218.72833,7850.44,87427.0,3,1300.7,100.0,-0.0004,51.209999,563662.0,15.34,2088.48
2015-02-13,223.96716,15260.16,87427.0,3,1307.2,70.0,0.0049,52.779999,437072.0,14.69,2096.99
2015-02-17,235.71275,16360.49,85267.0,3,1291.9,0.0,0.0635,53.529999,518799.0,15.8,2100.34
2015-02-18,242.93183,13453.31,105719.0,3,1283.5,150.0,-0.0064,52.139999,257476.0,15.45,2099.68
2015-02-19,237.1035,9123.0,105719.0,3,1288.9,70.0,0.0040999999999999995,51.16,125210.0,15.29,2097.45
2015-02-20,241.07183,9809.26,105719.0,3,1285.2,50.0,-0.0028000000000000004,50.34,366125.0,14.3,2110.3
2015-02-23,235.14141,9684.99,87827.0,3,1280.7,270.0,-0.0034999999999999996,49.450001,475383.0,14.56,2109.66
2015-02-24,238.93183,4506.86,105125.0,3,1275.1,150.0,-0.0043,49.279999,293101.0,13.69,2115.48
2015-02-25,238.15225,4165.15,105125.0,3,1278.0,20.0,0.0022,50.990002,429524.0,13.84,2113.86
2015-02-26,235.67716,6798.2,105125.0,3,1288.1,560.0,0.0078000000000000005,48.169998,459584.0,13.91,2110.74
2015-02-27,251.28908,20540.96,101474.0,3,1291.4,200.0,0.0025,49.759998,399494.0,13.34,2104.5
2015-03-02,258.8485,10027.14,104937.0,3,1287.8,120.0,-0.0027,49.59,427177.0,13.04,2117.39
2015-03-03,270.7625,19087.01,104937.0,3,1286.2,50.0,-0.0012,50.52,370597.0,13.86,2107.78
2015-03-04,278.1172,15023.6,104937.0,3,1282.6,30.0,-0.0028000000000000004,51.529999,463989.0,14.23,2098.53
2015-03-05,269.2606,11641.75,101115.0,3,1278.1,30.0,-0.0034999999999999996,50.759998,370953.0,14.04,2101.04
2015-03-06,274.8977,9963.67,101115.0,3,1247.6,170.0,-0.0235,49.610001,406840.0,15.2,2071.26
2015-03-09,277.98519,13596.15,87527.0,3,1250.0,50.0,0.0019,50.0,409877.0,15.06,2079.43
2015-03-10,294.1886,16279.83,87527.0,3,1240.1,90.0,-0.0078000000000000005,48.290001,395761.0,16.69,2044.16
2015-03-11,289.7149,9836.17,100765.0,3,1230.4,70.0,-0.0077,48.169998,404590.0,16.87,2040.24
2015-03-12,292.8678,9501.1,100765.0,3,1231.0,60.0,0.0005,47.049999,358381.0,15.42,2065.95
2015-03-13,293.224,11720.92,100765.0,3,1230.9,40.0,-0.0001,44.84,395722.0,16.0,2053.4
2015-03-16,290.61579,8819.7,89511.0,3,1231.3,60.0,0.0003,43.880001,367600.0,15.61,2081.19
2015-03-17,290.542,7724.07,99561.0,3,1226.5,70.0,-0.0038,43.459999,346310.0,15.66,2074.28
2015-03-18,283.7507,18277.12,99561.0,3,1229.5,110.0,0.0024,44.66,220638.0,13.97,2099.5
2015-03-19,252.44789,16096.79,99561.0,3,1241.5,40.0,0.0096,43.959999,106907.0,14.07,2089.27
2015-03-20,263.4741,7552.27,103532.0,3,1256.7,50.0,0.0121,45.720001,379180.0,13.02,2108.1
2015-03-23,267.5549,13043.94,106019.0,3,1259.5,10.0,0.0022,47.450001,292417.0,13.41,2104.42
2015-03-24,265.273,16427.45,106019.0,3,1263.2,410.0,0.0029,47.509998,309553.0,13.62,2091.5
2015-03-25,246.6733,12393.11,106019.0,3,1269.3,10.0,0.0048,49.209999,398795.0,15.44,2061.05
2015-03-26,245.6489,10837.76,101181.0,3,1279.0,70.0,0.0075,51.43,515277.0,15.8,2056.15
2015-03-27,246.5497,8364.84,101181.0,3,1273.9,0.0,-0.0039000000000000003,48.869999,384092.0,15.07,2061.02
2015-03-30,245.1133,10852.73,90516.0,3,1258.4,37990.0,-0.012,48.68,355866.0,14.51,2086.24
2015-03-31,247.2639,8179.65,90516.0,3,1254.2,3410.0,-0.0033,47.599998,365748.0,15.29,2067.89
2015-04-01,243.3028,9529.31,119343.0,2,1276.2,1630.0,0.0173,50.09,451104.0,15.11,2059.69
2015-04-02,246.96,9077.69,119343.0,2,1270.2,1680.0,-0.0046,49.139999,453394.0,14.67,2066.96
2015-04-06,260.3589,7405.23,89651.0,2,1287.4,340.0,0.0134,52.139999,325282.0,14.74,2080.62
2015-04-07,252.0909,7307.56,108714.0,2,1280.4,410.0,-0.0054,53.98,548870.0,14.78,2076.33
2015-04-08,252.8629,7572.99,108714.0,2,1273.1,240.0,-0.005600000000000001,50.419998,552627.0,13.98,2081.9
2015-04-09,244.0449,7620.34,108714.0,2,1263.6,520.0,-0.0074,50.790001,449531.0,13.09,2091.18
2015-04-10,240.9478,11515.72,112826.0,2,1275.3,200.0,0.0091,51.639999,395135.0,12.58,2102.06
2015-04-13,235.522,0.0,115407.0,2,1269.8,420.0,-0.0043,51.91,375534.0,13.94,2092.43
2015-04-14,222.6009,6154.67,115407.0,2,1260.1,550.0,-0.0075,53.290001,431026.0,13.67,2095.84
2015-04-15,220.9126,8680.74,115407.0,2,1268.5,200.0,0.0066,56.389999,508904.0,12.84,2106.63
2015-04-16,226.0171,8410.1,99046.0,2,1265.0,200.0,-0.0027,56.709999,413134.0,12.6,2104.99
2015-04-17,227.9255,7332.0,99046.0,2,1270.1,20.0,0.004,55.740002,230623.0,13.89,2081.18
2015-04-20,223.9214,7263.87,91134.0,2,1261.3,70.0,-0.0068000000000000005,56.380001,112382.0,13.3,2100.4
2015-04-21,224.9815,9587.36,91134.0,2,1271.1,30.0,0.0077,55.259998,354244.0,13.25,2097.29
2015-04-22,235.50369,7535.02,111878.0,2,1256.7,90.0,-0.011200000000000002,56.16,329631.0,12.71,2107.96
2015-04-23,234.15749,6497.28,111878.0,2,1264.0,330.0,0.005699999999999999,57.740002,415569.0,12.48,2112.93
2015-04-24,233.40079,5241.44,111878.0,2,1242.4,50.0,-0.0168,57.150002,328322.0,12.29,2117.69
2015-04-27,219.19029,11863.95,98465.0,2,1271.2,190.0,0.022799999999999997,56.990002,250558.0,13.12,2108.92
2015-04-28,227.3867,6931.74,113193.0,2,1283.4,10.0,0.0095,57.060001,281864.0,12.41,2114.76
2015-04-29,225.3545,6662.8,113193.0,2,1282.0,110.0,-0.0011,58.580002,411097.0,13.39,2106.85
2015-04-30,225.9976,11339.46,113193.0,2,1255.0,140.0,-0.0208,59.630001,340322.0,14.55,2085.51
2015-05-01,236.6827,9697.4,99560.0,2,1248.1,20.0,-0.0054,59.150002,244753.0,12.7,2108.29
2015-05-04,240.3646,8777.83,104000.0,2,1261.0,40.0,0.0102,58.93,215046.0,12.85,2114.49
2015-05-05,235.6033,8957.98,104000.0,2,1270.2,50.0,0.0072,60.400002,389743.0,14.31,2089.46
2015-05-06,235.6017,7817.31,104000.0,2,1268.7,10.0,-0.0012,60.93,423583.0,15.15,2080.15
2015-05-07,230.4207,8772.45,111125.0,2,1260.5,40.0,-0.0064,58.939999,437022.0,15.13,2088.0
2015-05-08,237.059,8466.61,111125.0,2,1264.5,50.0,0.0031,59.389999,434575.0,12.86,2116.1
2015-05-11,239.4036,6124.37,89409.0,2,1259.3,30.0,-0.0040999999999999995,59.25,332694.0,13.85,2105.33
2015-05-12,240.00079,6291.95,89409.0,2,1269.0,10.0,0.0076,60.75,397345.0,13.86,2099.12
2015-05-13,241.3529,10026.48,108858.0,2,1294.2,30.0,0.0196,60.5,426835.0,13.76,2098.48
2015-05-14,235.5478,9610.34,108858.0,2,1301.0,40.0,0.0052,59.880001,361432.0,12.74,2121.1
2015-05-15,237.5737,9062.66,108858.0,2,1300.9,10.0,-0.0001,59.689999,222089.0,12.38,2122.73
2015-05-18,236.2319,7083.69,90686.0,2,1303.2,10.0,0.0017000000000000001,59.43,144389.0,12.73,2129.2
2015-05-19,233.3119,6946.41,107346.0,2,1283.4,0.0,-0.015,57.259998,336779.0,12.85,2127.83
2015-05-20,232.7193,7040.85,107346.0,2,1285.5,10.0,0.0016,58.98,287129.0,12.88,2125.85
2015-05-21,234.204,6111.71,107346.0,2,1280.1,40.0,-0.0040999999999999995,60.720001,329765.0,12.11,2130.82
2015-05-22,235.86329,7718.5,102770.0,2,1281.7,0.0,0.0012,59.720001,230307.0,12.13,2126.06
2015-05-26,237.6588,5950.51,106086.0,2,1264.2,0.0,0.062,58.029999,330128.0,14.06,2104.2
2015-05-27,237.1844,6631.62,106086.0,2,1262.6,30.0,-0.0028000000000000004,57.509998,314917.0,13.27,2123.48
2015-05-28,237.6708,6001.17,110980.0,2,1264.5,52710.0,0.0015,57.68,340682.0,13.31,2120.79
2015-05-29,237.2277,6340.64,110980.0,2,1264.7,4750.0,0.0002,60.299999,452222.0,13.84,2107.39
2015-06-01,230.8331,10155.63,98784.0,2,1264.4,1240.0,-0.0002,60.200001,292189.0,13.97,2111.73
2015-06-02,223.415,8919.25,98784.0,2,1271.8,1000.0,0.0058,61.259998,344508.0,14.24,2109.6
2015-06-03,226.6168,6835.7,127600.0,2,1263.9,0.0,-0.0060999999999999995,59.639999,371298.0,13.66,2114.07
2015-06-04,225.444,6027.74,127600.0,2,1254.1,450.0,-0.0077,58.0,363345.0,14.71,2095.84
2015-06-05,223.9665,6580.07,127600.0,2,1250.6,10.0,-0.0028000000000000004,59.130001,461016.0,14.21,2092.83
2015-06-08,223.69459,6883.72,92696.0,2,1256.0,170.0,0.0043,58.139999,339845.0,15.29,2079.28
2015-06-09,228.1884,6386.51,121638.0,2,1260.8,140.0,0.0038,60.139999,405486.0,14.47,2080.15
2015-06-10,229.2025,5957.23,121638.0,2,1272.6,300.0,0.0092,61.43,459765.0,13.22,2105.2
2015-06-11,229.9599,5631.46,121638.0,2,1266.6,70.0,-0.004699999999999999,60.77,352421.0,12.85,2108.86
2015-06-12,229.9082,5860.99,126945.0,2,1265.0,140.0,-0.0012,59.959999,246898.0,13.78,2094.11
2015-06-15,234.7473,5868.17,129389.0,2,1269.8,100.0,0.0037,59.52,275187.0,15.39,2084.43
2015-06-16,237.39899,10379.93,129389.0,2,1263.4,30.0,-0.005,59.970001,233935.0,14.81,2096.29
2015-06-17,248.7435,10011.16,129389.0,2,1260.9,170.0,-0.002,59.919998,396155.0,14.5,2100.44
2015-06-18,247.2359,9547.55,124929.0,2,1284.8,130.0,0.0187,60.450001,181875.0,13.19,2121.24
2015-06-19,249.0733,29810.11,124929.0,2,1283.4,140.0,-0.0011,59.610001,116656.0,13.96,2109.99
