Date,BTC,Gold,Oil,VIX,SP500
2014-12-01,376.13,1332.5,69.0,14.29,2053.44
2014-12-02,377.86,1314.7,66.88,12.85,2066.55
2014-12-03,382.45,1325.8,67.38,12.47,2074.33
2014-12-04,376.38,1324.2,66.81,12.38,2071.92
2014-12-05,368.36,1310.8,65.84,11.82,2075.37
2014-12-08,373.16,1314.4,63.05,14.21,2060.31
2014-12-09,357.88,1350.2,63.82,14.89,2059.82
2014-12-10,348.9,1345.5,60.94,18.53,2026.14
2014-12-11,341.04,1342.3,59.95,20.08,2035.33
2014-12-12,348.27,1333.5,57.81,21.08,2002.33
2014-12-15,348.67,1317.7,55.91,20.42,1989.63
2014-12-16,338.55,1302.0,55.93,23.57,1972.74
2014-12-17,330.54,1302.3,56.47,19.44,2012.89
2014-12-18,317.4,1303.9,54.11,16.81,2061.23
2014-12-19,306.46,1305.6,56.52,16.49,2070.65
2014-12-22,320.03,1289.7,55.26,15.25,2078.54
2014-12-23,328.7,1289.7,57.12,14.8,2082.17
2014-12-24,332.05,1285.6,55.92,14.37,2081.88
2014-12-26,318.56,1307.7,54.73,14.5,2088.77
2014-12-29,315.64,1292.9,53.61,15.06,2090.57
2014-12-30,313.99,1311.9,54.12,15.92,2080.35
2014-12-31,309.9,1335.4,53.27,19.2,2058.9
2015-01-02,314.5,1337.7,52.69,17.79,2058.2
2015-01-05,270.81,1353.5,50.04,19.92,2020.58
2015-01-06,272.02,1362.2,47.93,21.12,2002.61
2015-01-07,283.84,1353.6,48.65,19.31,2025.9
2015-01-08,290.48,1351.6,48.79,17.01,2062.14
2015-01-09,281.04,1357.4,48.36,17.55,2044.81
2015-01-12,268.1,1373.2,46.07,19.6,2028.26
2015-01-13,243.08,1374.5,45.89,20.56,2023.03
2015-01-14,219.13,1364.5,48.48,21.48,2011.27
2015-01-15,193.35,1392.8,46.25,22.39,1992.67
2015-01-16,220.57,1404.9,48.69,20.95,2019.42
2015-01-20,211.54,1412.4,46.39,19.89,2022.55
2015-01-21,212.28,1413.4,47.78,18.85,2032.12
2015-01-22,230.68,1425.2,46.31,16.4,2063.15
2015-01-23,226.3,1417.6,45.59,16.66,2051.82
2015-01-26,283.6,1405.6,45.15,15.52,2057.09
2015-01-27,258.54,1414.7,46.23,17.22,2029.55
2015-01-28,257.45,1402.2,44.45,20.44,2002.16
2015-01-29,235.95,1363.8,44.53,18.76,2021.25
2015-01-30,233.14,1384.6,48.24,20.97,1994.99
2015-02-02,229.8,1382.4,49.57,19.43,2020.85
2015-02-03,237.65,1367.3,53.05,17.33,2050.03
2015-02-04,225.84,1373.4,48.45,18.33,2041.51
2015-02-05,226.55,1354.9,50.48,16.85,2062.52
2015-02-06,219.76,1332.6,51.69,17.29,2055.47
2015-02-09,222.78,1339.9,52.86,18.55,2046.74
2015-02-10,220.17,1331.2,50.02,17.23,2068.59
2015-02-11,223.0,1319.2,48.84,16.96,2068.53
2015-02-12,218.73,1318.7,51.21,15.34,2088.48
2015-02-13,223.97,1325.2,52.78,14.69,2096.99
2015-02-17,235.71,1309.9,53.53,15.8,2100.34
2015-02-18,242.93,1301.5,52.14,15.45,2099.68
2015-02-19,237.1,1306.9,51.16,15.29,2097.45
2015-02-20,241.07,1303.2,50.34,14.3,2110.3
2015-02-23,235.14,1298.7,49.45,14.56,2109.66
2015-02-24,238.93,1293.1,49.28,13.69,2115.48
2015-02-25,238.15,1296.0,50.99,13.84,2113.86
2015-02-26,235.68,1306.1,48.17,13.91,2110.74
2015-02-27,251.29,1309.4,49.76,13.34,2104.5
2015-03-02,258.85,1305.8,49.59,13.04,2117.39
2015-03-03,270.76,1304.2,50.52,13.86,2107.78
2015-03-04,278.12,1300.6,51.53,14.23,2098.53
2015-03-05,269.26,1296.1,50.76,14.04,2101.04
2015-03-06,274.9,1265.6,49.61,15.2,2071.26
2015-03-09,277.99,1268.0,50.0,15.06,2079.43
2015-03-10,294.19,1258.1,48.29,16.69,2044.16
2015-03-11,289.71,1248.4,48.17,16.87,2040.24
2015-03-12,292.87,1249.0,47.05,15.42,2065.95
2015-03-13,293.22,1248.9,44.84,16.0,2053.4
2015-03-16,290.62,1249.3,43.88,15.61,2081.19
2015-03-17,290.54,1244.5,43.46,15.66,2074.28
2015-03-18,283.75,1247.5,44.66,13.97,2099.5
2015-03-19,252.45,1259.5,43.96,14.07,2089.27
2015-03-20,263.47,1274.7,45.72,13.02,2108.1
2015-03-23,267.55,1277.5,47.45,13.41,2104.42
2015-03-24,265.27,1281.2,47.51,13.62,2091.5
2015-03-25,246.67,1287.3,49.21,15.44,2061.05
2015-03-26,245.65,1297.0,51.43,15.8,2056.15
2015-03-27,246.55,1291.9,48.87,15.07,2061.02
2015-03-30,245.11,1276.4,48.68,14.51,2086.24
2015-03-31,247.26,1272.2,47.6,15.29,2067.89
2015-04-01,243.3,1294.2,50.09,15.11,2059.69
2015-04-02,246.96,1288.2,49.14,14.67,2066.96
2015-04-06,260.36,1305.4,52.14,14.74,2080.62
2015-04-07,252.09,1298.4,53.98,14.78,2076.33
2015-04-08,252.86,1291.1,50.42,13.98,2081.9
2015-04-09,244.04,1281.6,50.79,13.09,2091.18
2015-04-10,240.95,1293.3,51.64,12.58,2102.06
2015-04-13,235.52,1287.8,51.91,13.94,2092.43
