Date,BTC_Close,BTC_Open,BTC_High,BTC_Low,BTC_Volume,BTC_transactions,BTC_interesst,gold_Open,gold_Close,gold_High,gold_Low,gold_Volume,gold_Chg%,oil_Open,oil_Close,oil_High,oil_Low,oil_Volume,VIX_Open,VIX_Close,VIX_High,VIX_Low,SP500_Close index
2014/12/1,376.13218,376.851,381.582,374.492,0.06,79098,3,1160,1332.5,1220.4,1141.7,5520,0.032,66,69,69.540001,63.720001,504122,14.16,14.29,14.75,13.94,2053.44
2014/12/2,377.862,376.13218,382.602,376.082,15.01,99419,3,1212.3,1314.7,1212.3,1191.3,1240,-0.0134,69.239998,66.879997,69.32,66.669998,360300,14.1,12.85,14.17,12.85,2066.55
2014/12/3,382.452,377.862,383.719,377.85311,0.55,99419,3,1198.1,1325.8,1213.7,1196.1,440,0.0084,67.599998,67.379997,68.230003,66.800003,293483,12.75,12.47,12.88,12.21,2074.33
2014/12/4,376.382,382.452,383.008,373.9132,0.01,99419,3,1208.2,1324.2,1213,1201.6,360,-0.0012,67.400002,66.809998,68.220001,66.089996,237011,12.7,12.38,13.23,12.09,2071.92
2014/12/5,368.3618,376.382,378.106,365.543,0,90900,3,1203.1,1310.8,1206,1186.7,560,-0.0101,66.800003,65.839996,66.889999,65.169998,276529,12.08,11.82,12.28,11.53,2075.37
2014/12/8,373.155,373.744,375.849,373.059,0.24,90746,3,1190.6,1314.4,1207,1187.2,180,0.0027,65.459999,63.049999,65.550003,62.779999,330077,13.05,14.21,14.67,12.55,2060.31
2014/12/9,357.884,373.155,373.7,356.069,0,90746,3,1202,1350.2,1238,1202,310,0.0272,63.009998,63.82,64.199997,62.25,322804,16.23,14.89,16.68,14.84,2059.82
2014/12/10,348.898,357.884,358.097,344.198,0.02,90746,3,1231.2,1345.5,1234.6,1226.6,310,-0.0035,63.330002,60.939999,63.43,60.43,456172,15.56,18.53,18.92,15.4,2026.14
2014/12/11,341.041,348.898,351.242,337.632,0,84005,3,1226.6,1342.3,1232,1216.2,260,-0.0024,61.119999,59.950001,61.68,58.959999,392493,17.68,20.08,20.13,15.94,2035.33
2014/12/12,348.272,341.041,361.003,340.081,3.15,84005,3,1227.8,1333.5,1227.8,1216.2,200,-0.0066,59.169998,57.810001,59.57,57.34,414224,20.51,21.08,23.06,18.34,2002.33
2014/12/15,348.674,347.348,353.14099,346.519,0,79703,3,1223.1,1317.7,1223.1,1198,80,-0.0118,57.07,55.91,58.73,55.02,424946,19.59,20.42,24.83,17.77,1989.63
2014/12/16,338.547,348.674,349.745,337.79,0,79703,3,1197.2,1302,1222,1192.7,220,-0.0119,55.400002,55.93,57.150002,53.599998,518784,23.55,23.57,25.2,19.6,1972.74
2014/12/17,330.536,338.547,339.901,323.77499,0,98444,3,1198.2,1302.3,1199.6,1184,90,0.0002,55.5,56.470001,58.98,54.209999,351977,23.9,19.44,24.61,19.26,2012.89
2014/12/18,317.405,330.536,331.281,314.438,2,98444,3,1189.7,1303.9,1207.3,1189.7,200,0.0012,55.830002,54.110001,58.73,54.049999,106315,17.14,16.81,18.51,16.07,2061.23
2014/12/19,306.45999,317.405,317.405,304.225,0,98444,3,1198,1305.6,1200.8,1196.5,100,0.0013,55.5,56.52,56.91,54.200001,383536,16.57,16.49,17.2,16.11,2070.65
2014/12/22,320.03499,321.89299,324.993,317.58299,0,86901,3,1198,1289.7,1198,1172.7,220,-0.0122,57.75,55.259998,58.529999,55.130001,277319,16.32,15.25,16.88,15.03,2078.54
2014/12/23,328.701,320.03499,332.466,318.975,0,99469,3,1179.3,1289.7,1180.3,1175,230,0,55.389999,57.119999,57.560001,55.060001,274003,14.47,14.8,15.21,14.32,2082.17
2014/12/26,318.563,321.386,321.685,316.13,0,76198,3,1177.2,1307.7,1194.4,1177.2,120,0.111,55.860001,54.73,56.59,54.509998,127202,14.6,14.5,14.84,14.13,2088.77
2014/12/29,315.64,316.009,319.63099,310.541,0,83447,3,1186.5,1292.9,1186.5,1181.3,60,-0.0113,55.049999,53.610001,55.740002,52.900002,241378,16.04,15.06,16.14,15.06,2090.57
2014/12/30,313.994,315.64,317.552,311.705,0,83447,3,1181.4,1311.9,1210.3,1181.4,190,0.0147,53.720001,54.119999,54.32,52.700001,218557,15.9,15.92,16.2,15.48,2080.35
2014/12/31,309.903,313.994,314.467,308.812,0,83447,3,1335.4,1295.4,1335.4,1346.7,90,0.0179,53.869999,53.27,54.02,52.439999,233516,15.91,19.2,19.91,15.86,2058.9
2015/1/2,314.49899,317.204,317.31599,312.567,0,59344,3,1337.7,1297.7,1337.7,1337.7,140,0.1271,53.759998,52.689999,55.110001,52.029999,268708,17.76,17.79,20.14,17.05,2058.2
2015/1/5,270.813,277.853,286.243,257.022,0,85694,3,1340,1313.5,1340,1340,0,0.0118,52.610001,50.040001,52.73,49.68,375782,19.19,19.92,21.29,19.19,2020.58
2015/1/6,272.0175,270.813,277.97199,265.24,0,85694,3,1362.2,1322.2,1362.2,1362.2,100,0.0064,50,47.93,50.369999,47.549999,451642,20.33,21.12,22.9,19.52,2002.61
2015/1/7,283.84125,272.0175,286.95999,271.67874,0,89916,3,1353.6,1313.6,1353.6,1350.3,30,-0.0063,48,48.650002,49.310001,46.830002,460083,20.15,19.31,20.72,19.04,2025.9
2015/1/8,290.485,283.84125,300.24124,283.68,10.35,89916,3,1351.6,1311.6,1351.6,1350,90,-0.0015,48.779999,48.790001,49.650002,47.73,362081,17.93,17.01,18.09,16.99,2062.14
2015/1/9,281.03625,290.485,291.40499,280.365,0,89916,3,1357.4,1317.4,1357.4,1357.4,40,0.0043,48.919998,48.360001,49.610001,47.16,421007,16.44,17.55,18.42,16.44,2044.81
2015/1/12,268.10199,277.64999,277.64999,263.834,0,104874,3,1357.4,1333.2,1357.4,1357.4,0,0.0116,48.189999,46.07,48.189999,45.619999,394946,18.02,19.6,20.44,18.02,2028.26
2015/1/13,243.081,268.10199,271.774,243.081,1,102309,3,1377.4,1334.5,1377.4,1377.4,0,0.0009,45.689999,45.889999,46.790001,44.200001,476541,18.21,20.56,21.58,17.65,2023.03
2015/1/14,219.128,243.081,249.04299,216.356,11.3,102309,3,1364.5,1324.5,1364.5,1366.7,20,-0.0073,46.16,48.48,48.91,45.009998,510252,22.87,21.48,23.34,21.32,2011.27
2015/1/15,193.3511,219.128,219.973,170.084,2.87,102309,3,1380,1352.8,1380,1380,0,0.0207,48.599998,46.25,51.27,46.07,478340,21.23,22.39,23.31,20.86,1992.67
2015/1/16,220.5745,193.3511,229.3059,192.0803,4.8,104699,3,1404.9,1364.9,1404.9,1404.9,40,0.0087,46.349998,48.689999,48.869999,45.950001,175626,22.8,20.95,23.43,20.95,2019.42
2015/1/20,211.5401,212.2711,216.6805,206.6594,0.02,98485,3,1380,1377.4,1380,1380,0,0.107,48.689999,46.389999,48.77,45.889999,438892,20.07,19.89,21.37,19.58,2022.55
2015/1/21,212.28249,211.5401,214.66619,204.8001,0.16,98485,3,1391.1,1378.4,1391.1,1390.9,0,0.0007,46.689999,47.779999,48.200001,46.549999,340252,20.92,18.85,21.28,18.64,2032.12
2015/1/22,230.6754,212.28249,236.83589,210.8765,4.36,93698,3,1425.2,1390.2,1425.2,1425.2,130,0.0083,47.349998,46.310001,49.09,45.869999,426829,17.98,16.4,19.23,16.07,2063.15
2015/1/23,226.30419,230.6754,236.34609,224.3954,0.18,93698,3,1417.6,1382.6,1417.6,1417.6,20,-0.0053,46.630001,45.59,47.759998,45.209999,374289,16.79,16.66,17.09,15.81,2051.82
2015/1/26,283.59769,251.606,290.8877,243.305,5152.24,86558,3,1405.6,1370.6,1405.6,1405.6,30,-0.0085,45.200001,45.150002,46.41,44.349998,310638,16.96,15.52,17.43,15.52,2057.09
2015/1/27,258.5374,283.59769,307.9664,254.225,1647.55,86558,3,1414.7,1379.7,1414.7,1414.7,20,0.0065,45.130001,46.23,46.549999,44.810001,313141,17.6,17.22,18.41,16.67,2029.55
2015/1/28,257.447,258.5374,268.022,250.9381,5160.3,85232,3,1402.2,1367.2,1402.2,1402.2,30,-0.0088,45.830002,44.450001,45.830002,44.080002,365440,16.97,20.44,20.44,16.92,2002.16
2015/1/29,235.948,257.447,262.7574,225.266,6661.74,85232,3,1380.2,1328.8,1380.2,1380.2,0,-0.0274,44.43,44.529999,44.959999,43.580002,300732,20.46,18.76,21.56,18.66,2021.25
2015/1/30,233.141,235.948,237.463,220.1002,5699.69,85232,3,1384.6,1349.6,1384.6,1384.6,8630,0.0153,44.630001,48.240002,48.349998,44.310001,454142,20.23,20.97,22.18,19.24,1994.99
2015/2/2,229.80441,216.66066,231.91775,211.53066,7156.24,86312,3,1382.4,1347.4,1382.4,1382.4,1650,-0.0016,47.59,49.57,50.560001,46.669998,511409,20.89,19.43,22.81,19.35,2020.85
2015/2/3,237.65175,229.80441,242.31883,222.218,8565.02,91793,3,1367.3,1332.3,1367.3,1367.3,2380,-0.0109,49.790001,53.049999,54.240002,49.689999,644919,18.41,17.33,18.89,17.2,2050.03
2015/2/4,225.83858,237.65175,246.1851,224.10733,9103.19,91793,3,1367,1263.8,1367,1367,0,0.0045,51.669998,48.450001,52.560001,47.950001,577515,17.82,18.33,18.38,16.82,2041.51
2015/2/5,226.554,225.83858,230.02183,220.71741,7522.28,91793,3,1354.9,1336.9,1354.9,1354.9,130,-0.0135,48.669998,50.48,52.099998,47.360001,596851,17.29,16.85,17.43,16.67,2062.52
2015/2/6,219.75625,226.554,227.40666,214.65725,5638.26,85705,3,1332.6,1314.6,1332.6,1332.6,430,-0.0165,50.860001,51.689999,53.16,50.720001,584976,16.29,17.29,18.74,16.06,2055.47
2015/2/9,222.78408,225.73291,229.33333,219.96391,6525.33,104758,3,1339.9,1321.9,1339.9,1339.9,320,0.0055,52.009998,52.860001,53.990002,51.650002,536364,19.16,18.55,19.28,18.21,2046.74
2015/2/10,220.16725,222.78408,223.94616,217.08533,5450.37,104758,3,1331.2,1313.2,1331.2,1331.2,230,-0.0065,52.43,50.02,52.650002,49.860001,501701,17.72,17.23,18.36,16.97,2068.59
2015/2/11,223.00366,220.16725,223.5535,215.45466,8877.19,104758,3,1319.2,1301.2,1319.2,1319.2,100,-0.009,50.98,48.84,51.139999,48.049999,519272,17.43,16.96,17.81,16.82,2068.53
2015/2/12,218.72833,223.00366,223.00924,218.27583,7850.44,87427,3,1318.7,1300.7,1318.7,1318.7,100,-0.0004,49.419998,51.209999,51.599998,49.139999,563662,16.39,15.34,16.47,15.28,2088.48
2015/2/13,223.96716,218.72833,224.00924,217.61941,15260.16,87427,3,1325.2,1307.2,1325.2,1325.2,70,0.0049,51.349998,52.779999,53.43,51.029999,437072,15.11,14.69,15.64,14.69,2096.99
2015/2/17,235.71275,230.1355,239.58716,229.83233,16360.49,85267,3,1323.3,1291.9,1323.3,1323.3,0,0.0635,52.75,53.529999,54.150002,50.810001,518799,15.86,15.8,16.33,15.53,2100.34
2015/2/18,242.93183,235.71275,246.13708,234.99991,13453.31,105719,3,1301.5,1283.5,1301.5,1301.5,150,-0.0064,53.240002,52.139999,53.41,50.32,257476,16.74,15.45,16.74,15.44,2099.68
2015/2/19,237.1035,242.93183,243.79491,231.74658,9123,105719,3,1306.9,1288.9,1306.9,1306.9,70,0.0041,50.549999,51.16,52.139999,49.150002,125210,16.11,15.29,16.22,15.1,2097.45
2015/2/20,241.07183,237.1035,243.11,235.63558,9809.26,105719,3,1303.2,1285.2,1303.2,1303.2,50,-0.0028,51.240002,50.34,51.849998,49.91,366125,15.73,14.3,16.29,14.27,2110.3
2015/2/23,235.14141,245.145,245.70399,233.06841,9684.99,87827,3,1298.7,1280.7,1298.7,1298.7,270,-0.0035,50.75,49.450001,50.990002,48.669998,475383,15.05,14.56,15.48,14.49,2109.66
2015/2/24,238.93183,235.14141,239.62416,231.77475,4506.86,105125,3,1293.1,1275.1,1293.1,1293.1,150,-0.0043,49.419998,49.279999,50.330002,48.68,293101,14.5,13.69,14.63,13.53,2115.48
