Date,Close,Open,High,Low,Volume,n-transactions,interest,Type
2013-10-01,123.65,124.3,124.75,122.56,0.06,79098.0,3.0,BTC
2013-10-02,125.46,123.65,125.76,123.63,0.06,79098.0,3.0,BTC
2013-10-03,108.58,125.46,125.67,83.33,0.06,79098.0,3.0,BTC
2013-10-04,118.67,108.58,118.68,107.06,0.06,79098.0,3.0,BTC
2013-10-05,121.34,118.67,121.94,118.01,0.06,79098.0,3.0,BTC
2013-10-06,120.66,121.34,121.85,120.55,0.06,79098.0,3.0,BTC
2013-10-07,121.8,120.66,121.99,120.43,0.06,79098.0,3.0,BTC
2013-10-08,123.03,121.8,123.64,121.35,0.06,79098.0,3.0,BTC
2013-10-09,124.05,123.03,124.78,122.59,0.06,79098.0,3.0,BTC
2013-10-10,125.96,124.05,128.02,123.82,0.06,79098.0,3.0,BTC
2013-10-11,125.28,125.96,126.44,124.11,0.06,79098.0,3.0,BTC
2013-10-12,125.93,125.28,126.04,123.13,0.06,79098.0,3.0,BTC
2013-10-13,126.38,125.93,126.9,125.28,0.06,79098.0,3.0,BTC
2013-10-14,135.24,126.38,135.24,126.26,0.06,79098.0,3.0,BTC
2013-10-15,133.2,135.24,135.69,130.39,0.06,79098.0,3.0,BTC
2013-10-16,142.76,133.2,143.6,132.95,0.06,79098.0,3.0,BTC
2013-10-17,137.92,142.76,145.6,136.01,0.06,79098.0,3.0,BTC
2013-10-18,142.95,137.92,144.31,137.54,0.06,79098.0,3.0,BTC
2013-10-19,152.55,142.95,152.67,142.48,0.06,79098.0,3.0,BTC
2013-10-20,160.34,152.55,167.08,152.51,0.06,79098.0,3.0,BTC
2013-10-21,164.31,160.34,164.33,159.9,0.06,79098.0,3.0,BTC
2013-10-22,177.63,164.31,177.71,163.87,0.06,79098.0,3.0,BTC
2013-10-23,188.3,177.63,188.82,177.11,0.06,79098.0,3.0,BTC
2013-10-24,200.7,188.3,202.34,185.82,0.06,79098.0,3.0,BTC
2013-10-25,180.36,200.7,201.33,158.72,0.06,79098.0,3.0,BTC
2013-10-26,175.03,180.36,184.09,162.56,0.06,79098.0,3.0,BTC
2013-10-27,177.7,175.03,180.32,174.74,0.06,79098.0,3.0,BTC
2013-10-28,187.16,177.7,188.4,174.9,0.06,79098.0,3.0,BTC
2013-10-29,192.76,187.16,192.84,185.88,0.06,79098.0,3.0,BTC
2013-10-30,197.4,192.76,198.41,191.63,0.06,79098.0,3.0,BTC
2013-10-31,196.02,197.4,198.79,192.83,0.06,79098.0,3.0,BTC
2013-11-01,198.05,196.02,198.57,195.03,0.06,79098.0,3.0,BTC
2013-11-02,198.93,198.05,199.1,195.49,0.06,79098.0,3.0,BTC
2013-11-03,200.54,198.93,201.24,198.71,0.06,79098.0,3.0,BTC
2013-11-04,210.31,200.54,211.17,200.3,0.06,79098.0,3.0,BTC
2013-11-05,225.02,210.31,227.03,209.23,0.06,79098.0,3.0,BTC
2013-11-06,248.25,225.02,248.32,221.85,0.06,79098.0,3.0,BTC
2013-11-07,262.33,248.25,262.67,242.95,0.06,79098.0,3.0,BTC
2013-11-08,294.49,262.33,294.49,260.45,0.06,79098.0,3.0,BTC
2013-11-09,331.1,294.49,343.68,293.49,0.06,79098.0,3.0,BTC
2013-11-10,285.89,331.1,355.23,277.25,0.06,79098.0,3.0,BTC
2013-11-11,304.98,285.89,323.27,260.7,0.06,79098.0,3.0,BTC
2013-11-12,338.14,304.98,339.8,303.65,0.06,79098.0,3.0,BTC
2013-11-13,357.48,338.14,358.95,336.31,0.06,79098.0,3.0,BTC
2013-11-14,402.95,357.48,409.51,350.21,0.06,79098.0,3.0,BTC
2013-11-15,409.1,402.95,415.94,383.58,0.06,79098.0,3.0,BTC
2013-11-16,420.22,409.1,427.9,386.56,0.06,79098.0,3.0,BTC
2013-11-17,437.3,420.22,437.97,415.2,0.06,79098.0,3.0,BTC
2013-11-18,510.6,437.3,512.17,436.13,0.06,79098.0,3.0,BTC
2013-11-19,693.65,510.6,781.83,491.58,0.06,79098.0,3.0,BTC
2013-11-20,531.54,693.65,716.82,394.91,0.06,79098.0,3.0,BTC
2013-11-21,574.72,531.54,580.11,428.98,0.06,79098.0,3.0,BTC
2013-11-22,681.33,574.72,705.5,570.78,0.06,79098.0,3.0,BTC
2013-11-23,774.18,681.33,775.65,651.9,0.06,79098.0,3.0,BTC
2013-11-24,746.19,774.18,823.42,691.69,0.06,79098.0,3.0,BTC
2013-11-25,768.85,746.19,787.25,707.75,0.06,79098.0,3.0,BTC
2013-11-26,789.36,768.85,793.71,739.84,0.06,79098.0,3.0,BTC
2013-11-27,893.18,789.36,904.58,787.19,0.06,79098.0,3.0,BTC
2013-11-28,934.36,893.18,965.25,870.39,0.06,79098.0,3.0,BTC
2013-11-29,1068.36,934.36,1084.95,912.93,0.06,79098.0,3.0,BTC
2013-11-30,1154.93,1068.36,1157.5,1028.23,0.06,79098.0,3.0,BTC
2013-12-01,1099.52,1154.93,1156.03,1099.21,0.06,79098.0,3.0,BTC
2013-12-02,1019.79,1099.52,1099.71,783.69,0.06,79098.0,3.0,BTC
2013-12-03,1028.84,1019.79,1049.68,929.95,0.06,79098.0,3.0,BTC
2013-12-04,1071.28,1028.84,1092.83,1021.18,0.06,79098.0,3.0,BTC
2013-12-05,1139.33,1071.28,1151.3,1066.87,0.06,79098.0,3.0,BTC
2013-12-06,1004.62,1139.33,1144.37,870.38,0.06,79098.0,3.0,BTC
2013-12-07,759.43,1004.62,1038.55,656.87,0.06,79098.0,3.0,BTC
2013-12-08,689.81,759.43,826.33,558.08,0.06,79098.0,3.0,BTC
2013-12-09,841.84,689.81,845.85,682.71,0.06,79098.0,3.0,BTC
2013-12-10,916.78,841.84,948.68,809.92,0.06,79098.0,3.0,BTC
2013-12-11,967.43,916.78,1004.94,900.68,0.06,79098.0,3.0,BTC
2013-12-12,866.29,967.43,975.62,832.23,0.06,79098.0,3.0,BTC
2013-12-13,911.23,866.29,919.3,843.41,0.06,79098.0,3.0,BTC
2013-12-14,889.82,911.23,933.17,859.45,0.06,79098.0,3.0,BTC
2013-12-15,849.0,889.82,897.31,848.26,0.06,79098.0,3.0,BTC
2013-12-16,868.95,849.0,886.24,819.44,0.06,79098.0,3.0,BTC
2013-12-17,653.8,868.95,876.22,636.15,0.06,79098.0,3.0,BTC
2013-12-18,654.06,653.8,757.02,647.62,0.06,79098.0,3.0,BTC
2013-12-19,553.69,654.06,654.06,422.5,0.06,79098.0,3.0,BTC
2013-12-20,693.06,553.69,710.33,545.54,0.06,79098.0,3.0,BTC
2013-12-21,649.39,693.06,733.24,598.06,0.06,79098.0,3.0,BTC
2013-12-22,595.96,649.39,651.84,580.73,0.06,79098.0,3.0,BTC
2013-12-23,647.68,595.96,671.59,594.37,0.06,79098.0,3.0,BTC
2013-12-24,671.58,647.68,685.37,632.54,0.06,79098.0,3.0,BTC
2013-12-25,659.84,671.58,675.61,645.78,0.06,79098.0,3.0,BTC
2013-12-26,702.0,659.84,720.22,651.53,0.06,79098.0,3.0,BTC
2013-12-27,758.01,702.0,780.94,698.07,0.06,79098.0,3.0,BTC
2013-12-28,734.01,758.01,772.91,723.99,0.06,79098.0,3.0,BTC
2013-12-29,717.93,734.01,753.83,705.1,0.06,79098.0,3.0,BTC
2013-12-30,752.82,717.93,759.64,713.75,0.06,79098.0,3.0,BTC
2013-12-31,744.17,752.82,763.83,743.7,0.06,79098.0,3.0,BTC
2014-01-01,768.41,744.17,772.96,733.19,0.06,79098.0,3.0,BTC
2014-01-02,769.1,768.41,774.26,750.53,0.06,79098.0,3.0,BTC
2014-01-03,804.03,769.1,826.34,768.15,0.06,79098.0,3.0,BTC
2014-01-04,813.32,804.03,839.86,798.12,0.06,79098.0,3.0,BTC
2014-01-05,871.12,813.32,873.98,808.72,0.06,79098.0,3.0,BTC
2014-01-06,970.65,871.12,972.0,861.26,0.06,79098.0,3.0,BTC
2014-01-07,962.46,970.65,1023.17,914.77,0.06,79098.0,3.0,BTC
2014-01-08,855.76,962.46,970.23,788.7,0.06,79098.0,3.0,BTC
2014-01-09,860.84,855.76,886.03,822.32,0.06,79098.0,3.0,BTC
2014-01-10,847.53,860.84,880.64,814.17,0.06,79098.0,3.0,BTC
2014-01-11,892.26,847.53,902.04,837.57,0.06,79098.0,3.0,BTC
2014-01-12,916.7,892.26,940.5,876.58,0.06,79098.0,3.0,BTC
2014-01-13,873.27,916.7,920.72,857.74,0.06,79098.0,3.0,BTC
2014-01-14,863.7,873.27,873.27,821.0,0.06,79098.0,3.0,BTC
2014-01-15,853.26,863.7,871.11,839.12,0.06,79098.0,3.0,BTC
2014-01-16,874.07,853.26,888.89,853.26,0.06,79098.0,3.0,BTC
2014-01-17,842.19,874.07,879.63,841.28,0.06,79098.0,3.0,BTC
2014-01-18,834.87,842.19,854.33,810.22,0.06,79098.0,3.0,BTC
2014-01-19,838.43,834.87,850.57,834.08,0.06,79098.0,3.0,BTC
2014-01-20,881.88,838.43,885.16,834.77,0.06,79098.0,3.0,BTC
2014-01-21,873.29,881.88,882.45,857.85,0.06,79098.0,3.0,BTC
2014-01-22,874.13,873.29,876.14,861.78,0.06,79098.0,3.0,BTC
2014-01-23,864.56,874.13,874.13,854.06,0.06,79098.0,3.0,BTC
2014-01-24,838.15,864.56,866.46,835.0,0.06,79098.0,3.0,BTC
2014-01-25,834.57,838.15,838.26,810.64,0.06,79098.0,3.0,BTC
2014-01-26,858.13,834.57,876.24,833.73,0.06,79098.0,3.0,BTC
2014-01-27,887.08,858.13,899.23,851.75,0.06,79098.0,3.0,BTC
2014-01-28,830.53,887.08,887.38,800.04,0.06,79098.0,3.0,BTC
2014-01-29,832.89,830.53,860.24,798.18,0.06,79098.0,3.0,BTC
2014-01-30,832.87,832.89,846.93,832.26,0.06,79098.0,3.0,BTC
2014-01-31,841.49,832.87,855.87,816.06,0.06,79098.0,3.0,BTC
2014-02-01,847.36,841.49,852.4,839.53,0.06,79098.0,3.0,BTC
2014-02-02,854.72,847.36,869.48,843.35,0.06,79098.0,3.0,BTC
2014-02-03,856.03,854.72,882.43,850.31,0.06,79098.0,3.0,BTC
2014-02-04,847.71,856.03,856.03,842.74,0.06,79098.0,3.0,BTC
2014-02-05,844.29,847.71,852.26,839.73,0.06,79098.0,3.0,BTC
2014-02-06,802.75,844.29,846.35,793.63,0.06,79098.0,3.0,BTC
2014-02-07,748.44,802.75,815.8,738.61,0.06,79098.0,3.0,BTC
2014-02-08,692.67,748.44,758.34,658.83,0.06,79098.0,3.0,BTC
2014-02-09,668.86,692.67,721.64,657.88,0.06,79098.0,3.0,BTC
2014-02-10,700.45,668.86,711.97,662.74,0.06,79098.0,3.0,BTC
2014-02-11,694.31,700.45,702.37,535.55,0.06,79098.0,3.0,BTC
2014-02-12,665.8,694.31,710.65,635.23,0.06,79098.0,3.0,BTC
2014-02-13,645.62,665.8,672.0,633.4,0.06,79098.0,3.0,BTC
2014-02-14,578.41,645.62,653.36,532.31,0.06,79098.0,3.0,BTC
2014-02-15,641.91,578.41,696.75,553.08,0.06,79098.0,3.0,BTC
2014-02-16,656.27,641.91,658.0,626.8,0.06,79098.0,3.0,BTC
2014-02-17,611.04,656.27,657.27,576.02,0.06,79098.0,3.0,BTC
2014-02-18,634.99,611.04,653.75,603.07,0.06,79098.0,3.0,BTC
2014-02-19,618.79,634.99,641.37,607.94,0.06,79098.0,3.0,BTC
2014-02-20,619.84,618.79,625.42,612.5,0.06,79098.0,3.0,BTC
2014-02-21,545.76,619.84,620.84,525.07,0.06,79098.0,3.0,BTC
2014-02-22,561.54,545.76,581.24,538.12,0.06,79098.0,3.0,BTC
2014-02-23,622.22,561.54,622.22,554.35,0.06,79098.0,3.0,BTC
2014-02-24,572.77,622.22,637.5,567.5,0.06,79098.0,3.0,BTC
2014-02-25,501.16,572.77,583.14,492.89,0.06,79098.0,3.0,BTC
2014-02-26,550.6,501.16,562.54,418.76,0.06,79098.0,3.0,BTC
2014-02-27,573.1,550.6,599.5,548.99,0.06,79098.0,3.0,BTC
2014-02-28,567.29,573.1,583.78,558.22,0.06,79098.0,3.0,BTC
2014-03-01,551.73,567.29,570.79,535.87,0.06,79098.0,3.0,BTC
2014-03-02,560.2,551.73,570.0,548.78,0.06,79098.0,3.0,BTC
2014-03-03,567.7,560.2,568.28,550.75,0.06,79098.0,3.0,BTC
2014-03-04,666.15,567.7,681.62,562.3,0.06,79098.0,3.0,BTC
2014-03-05,660.84,666.15,698.05,653.52,0.06,79098.0,3.0,BTC
2014-03-06,662.02,660.84,666.33,643.52,0.06,79098.0,3.0,BTC
2014-03-07,651.28,662.02,663.74,644.34,0.06,79098.0,3.0,BTC
2014-03-08,612.33,651.28,653.98,611.02,0.06,79098.0,3.0,BTC
2014-03-09,611.16,612.33,626.25,600.99,0.06,79098.0,3.0,BTC
2014-03-10,637.62,611.16,644.88,610.07,0.06,79098.0,3.0,BTC
2014-03-11,626.0,637.62,642.53,611.0,0.06,79098.0,3.0,BTC
2014-03-12,633.75,626.0,645.75,615.27,0.06,79098.0,3.0,BTC
2014-03-13,631.76,633.75,639.54,627.39,0.06,79098.0,3.0,BTC
2014-03-14,636.41,631.76,641.67,631.32,0.06,79098.0,3.0,BTC
