Date,Close,Open,High,Low,Volume,Type
2014-12-01,1332.5,1160.0,1220.4,1141.7,5520.0,Gold
2014-12-02,1314.7,1212.3,1212.3,1191.3,1240.0,Gold
2014-12-03,1325.8,1198.1,1213.7,1196.1,440.0,Gold
2014-12-04,1324.2,1208.2,1213.0,1201.6,360.0,Gold
2014-12-05,1310.8,1203.1,1206.0,1186.7,560.0,Gold
2014-12-08,1314.4,1190.6,1207.0,1187.2,180.0,Gold
2014-12-09,1350.2,1202.0,1238.0,1202.0,310.0,Gold
2014-12-10,1345.5,1231.2,1234.6,1226.6,310.0,Gold
2014-12-11,1342.3,1226.6,1232.0,1216.2,260.0,Gold
2014-12-12,1333.5,1227.8,1227.8,1216.2,200.0,Gold
2014-12-15,1317.7,1223.1,1223.1,1198.0,80.0,Gold
2014-12-16,1302.0,1197.2,1222.0,1192.7,220.0,Gold
2014-12-17,1302.3,1198.2,1199.6,1184.0,90.0,Gold
2014-12-18,1303.9,1189.7,1207.3,1189.7,200.0,Gold
2014-12-19,1305.6,1198.0,1200.8,1196.5,100.0,Gold
2014-12-22,1289.7,1198.0,1198.0,1172.7,220.0,Gold
2014-12-23,1289.7,1179.3,1180.3,1175.0,230.0,Gold
2014-12-24,1285.6,1177.0,1179.3,1173.7,20.0,Gold
2014-12-25,1177.0,1175.0,1178.9,1175.0,0.0,Gold
2014-12-26,1307.7,1177.2,1194.4,1177.2,120.0,Gold
2014-12-29,1292.9,1186.5,1186.5,1181.3,60.0,Gold
2014-12-30,1311.9,1181.4,1210.3,1181.4,190.0,Gold
2014-12-31,1335.4,1335.4,1335.4,1346.7,90.0,Gold
2015-01-01,1186.8,1184.1,1187.5,1184.1,0.0,Gold
2015-01-02,1337.7,1337.7,1337.7,1337.7,140.0,Gold
2015-01-05,1353.5,1340.0,1340.0,1340.0,0.0,Gold
2015-01-06,1362.2,1362.2,1362.2,1362.2,100.0,Gold
2015-01-07,1353.6,1353.6,1353.6,1350.3,30.0,Gold
2015-01-08,1351.6,1351.6,1351.6,1350.0,90.0,Gold
2015-01-09,1357.4,1357.4,1357.4,1357.4,40.0,Gold
2015-01-12,1373.2,1357.4,1357.4,1357.4,0.0,Gold
2015-01-13,1374.5,1377.4,1377.4,1377.4,0.0,Gold
2015-01-14,1364.5,1364.5,1364.5,1366.7,20.0,Gold
2015-01-15,1392.8,1380.0,1380.0,1380.0,0.0,Gold
2015-01-16,1404.9,1404.9,1404.9,1404.9,40.0,Gold
2015-01-18,1279.0,1281.0,1281.9,1275.7,0.0,Gold
2015-01-19,1275.9,1279.4,1279.5,1272.5,0.0,Gold
2015-01-20,1412.4,1380.0,1380.0,1380.0,0.0,Gold
2015-01-21,1413.4,1391.1,1391.1,1390.9,0.0,Gold
2015-01-22,1425.2,1425.2,1425.2,1425.2,130.0,Gold
2015-01-23,1417.6,1417.6,1417.6,1417.6,20.0,Gold
2015-01-26,1405.6,1405.6,1405.6,1405.6,30.0,Gold
2015-01-27,1414.7,1414.7,1414.7,1414.7,20.0,Gold
2015-01-28,1402.2,1402.2,1402.2,1402.2,30.0,Gold
2015-01-29,1363.8,1380.2,1380.2,1380.2,0.0,Gold
2015-01-30,1384.6,1384.6,1384.6,1384.6,8630.0,Gold
2015-02-02,1382.4,1382.4,1382.4,1382.4,1650.0,Gold
2015-02-03,1367.3,1367.3,1367.3,1367.3,2380.0,Gold
