Date,Close,Open,High,Low,Volume
2014-12-01,69.0,66.0,69.54,63.72,504122.0
2014-12-02,66.88,69.24,69.32,66.67,360300.0
2014-12-03,67.38,67.6,68.23,66.8,293483.0
2014-12-04,66.81,67.4,68.22,66.09,237011.0
2014-12-05,65.84,66.8,66.89,65.17,276529.0
2014-12-06,64.91,66.35,66.44,64.37,294378.33
2014-12-07,63.98,65.91,66.0,63.58,312227.67
2014-12-08,63.05,65.46,65.55,62.78,330077.0
2014-12-09,63.82,63.01,64.2,62.25,322804.0
2014-12-10,60.94,63.33,63.43,60.43,456172.0
2014-12-11,59.95,61.12,61.68,58.96,392493.0
2014-12-12,57.81,59.17,59.57,57.34,414224.0
2014-12-13,57.18,58.47,59.29,56.57,417798.0
2014-12-14,56.54,57.77,59.01,55.79,421372.0
2014-12-15,55.91,57.07,58.73,55.02,424946.0
2014-12-16,55.93,55.4,57.15,53.6,518784.0
2014-12-17,56.47,55.5,58.98,54.21,351977.0
2014-12-18,54.11,55.83,58.73,54.05,106315.0
2014-12-19,56.52,55.5,56.91,54.2,383536.0
2014-12-20,56.1,56.25,57.45,54.51,348130.33
2014-12-21,55.68,57.0,57.99,54.82,312724.67
2014-12-22,55.26,57.75,58.53,55.13,277319.0
2014-12-23,57.12,55.39,57.56,55.06,274003.0
2014-12-24,56.32,55.55,57.24,54.88,225069.33
2014-12-25,55.53,55.7,56.91,54.69,176135.67
2014-12-26,54.73,55.86,56.59,54.51,127202.0
2014-12-27,54.36,55.59,56.31,53.97,165260.67
2014-12-28,53.98,55.32,56.02,53.44,203319.33
2014-12-29,53.61,55.05,55.74,52.9,241378.0
2014-12-30,54.12,53.72,54.32,52.7,218557.0
2014-12-31,53.27,53.87,54.02,52.44,233516.0
2015-01-01,52.98,53.81,54.57,52.23,251112.0
2015-01-02,52.69,53.76,55.11,52.03,268708.0
2015-01-03,51.81,53.38,54.32,51.25,304399.33
2015-01-04,50.92,52.99,53.52,50.46,340090.67
2015-01-05,50.04,52.61,52.73,49.68,375782.0
2015-01-06,47.93,50.0,50.37,47.55,451642.0
2015-01-07,48.65,48.0,49.31,46.83,460083.0
2015-01-08,48.79,48.78,49.65,47.73,362081.0
2015-01-09,48.36,48.92,49.61,47.16,421007.0
2015-01-10,47.6,48.68,49.14,46.65,412320.0
2015-01-11,46.83,48.43,48.66,46.13,403633.0
2015-01-12,46.07,48.19,48.19,45.62,394946.0
