Date,Close,Type
2014-12-01,2053.44,SP500
2014-12-02,2066.55,SP500
2014-12-03,2074.33,SP500
2014-12-04,2071.92,SP500
2014-12-05,2075.37,SP500
2014-12-08,2060.31,SP500
2014-12-09,2059.82,SP500
2014-12-10,2026.14,SP500
2014-12-11,2035.33,SP500
2014-12-12,2002.33,SP500
2014-12-15,1989.63,SP500
2014-12-16,1972.74,SP500
2014-12-17,2012.89,SP500
2014-12-18,2061.23,SP500
2014-12-19,2070.65,SP500
2014-12-22,2078.54,SP500
2014-12-23,2082.17,SP500
2014-12-24,2081.88,SP500
2014-12-26,2088.77,SP500
2014-12-29,2090.57,SP500
2014-12-30,2080.35,SP500
2014-12-31,2058.9,SP500
2015-01-02,2058.2,SP500
2015-01-05,2020.58,SP500
2015-01-06,2002.61,SP500
2015-01-07,2025.9,SP500
2015-01-08,2062.14,SP500
2015-01-09,2044.81,SP500
2015-01-12,2028.26,SP500
2015-01-13,2023.03,SP500
2015-01-14,2011.27,SP500
2015-01-15,1992.67,SP500
2015-01-16,2019.42,SP500
2015-01-20,2022.55,SP500
2015-01-21,2032.12,SP500
2015-01-22,2063.15,SP500
2015-01-23,2051.82,SP500
2015-01-26,2057.09,SP500
2015-01-27,2029.55,SP500
2015-01-28,2002.16,SP500
2015-01-29,2021.25,SP500
2015-01-30,1994.99,SP500
2015-02-02,2020.85,SP500
2015-02-03,2050.03,SP500
2015-02-04,2041.51,SP500
2015-02-05,2062.52,SP500
2015-02-06,2055.47,SP500
2015-02-09,2046.74,SP500
2015-02-10,2068.59,SP500
2015-02-11,2068.53,SP500
2015-02-12,2088.48,SP500
2015-02-13,2096.99,SP500
2015-02-17,2100.34,SP500
2015-02-18,2099.68,SP500
2015-02-19,2097.45,SP500
2015-02-20,2110.3,SP500
2015-02-23,2109.66,SP500
2015-02-24,2115.48,SP500
2015-02-25,2113.86,SP500
2015-02-26,2110.74,SP500
2015-02-27,2104.5,SP500
2015-03-02,2117.39,SP500
2015-03-03,2107.78,SP500
2015-03-04,2098.53,SP500
2015-03-05,2101.04,SP500
2015-03-06,2071.26,SP500
2015-03-09,2079.43,SP500
2015-03-10,2044.16,SP500
2015-03-11,2040.24,SP500
2015-03-12,2065.95,SP500
2015-03-13,2053.4,SP500
2015-03-16,2081.19,SP500
2015-03-17,2074.28,SP500
2015-03-18,2099.5,SP500
2015-03-19,2089.27,SP500
2015-03-20,2108.1,SP500
2015-03-23,2104.42,SP500
2015-03-24,2091.5,SP500
2015-03-25,2061.05,SP500
2015-03-26,2056.15,SP500
2015-03-27,2061.02,SP500
2015-03-30,2086.24,SP500
2015-03-31,2067.89,SP500
2015-04-01,2059.69,SP500
2015-04-02,2066.96,SP500
2015-04-06,2080.62,SP500
2015-04-07,2076.33,SP500
2015-04-08,2081.9,SP500
2015-04-09,2091.18,SP500
2015-04-10,2102.06,SP500
2015-04-13,2092.43,SP500
2015-04-14,2095.84,SP500
2015-04-15,2106.63,SP500
2015-04-16,2104.99,SP500
2015-04-17,2081.18,SP500
2015-04-20,2100.4,SP500
2015-04-21,2097.29,SP500
2015-04-22,2107.96,SP500
2015-04-23,2112.93,SP500
2015-04-24,2117.69,SP500
2015-04-27,2108.92,SP500
2015-04-28,2114.76,SP500
2015-04-29,2106.85,SP500
2015-04-30,2085.51,SP500
2015-05-01,2108.29,SP500
2015-05-04,2114.49,SP500
2015-05-05,2089.46,SP500
2015-05-06,2080.15,SP500
2015-05-07,2088.0,SP500
2015-05-08,2116.1,SP500
2015-05-11,2105.33,SP500
2015-05-12,2099.12,SP500
2015-05-13,2098.48,SP500
2015-05-14,2121.1,SP500
2015-05-15,2122.73,SP500
2015-05-18,2129.2,SP500
2015-05-19,2127.83,SP500
2015-05-20,2125.85,SP500
2015-05-21,2130.82,SP500
2015-05-22,2126.06,SP500
2015-05-26,2104.2,SP500
2015-05-27,2123.48,SP500
2015-05-28,2120.79,SP500
2015-05-29,2107.39,SP500
2015-06-01,2111.73,SP500
2015-06-02,2109.6,SP500
2015-06-03,2114.07,SP500
2015-06-04,2095.84,SP500
2015-06-05,2092.83,SP500
2015-06-08,2079.28,SP500
2015-06-09,2080.15,SP500
2015-06-10,2105.2,SP500
2015-06-11,2108.86,SP500
2015-06-12,2094.11,SP500
2015-06-15,2084.43,SP500
2015-06-16,2096.29,SP500
2015-06-17,2100.44,SP500
2015-06-18,2121.24,SP500
2015-06-19,2109.99,SP500
2015-06-22,2122.85,SP500
2015-06-23,2124.2,SP500
2015-06-24,2108.58,SP500
2015-06-25,2102.31,SP500
2015-06-26,2101.49,SP500
2015-06-29,2057.64,SP500
2015-06-30,2063.11,SP500
2015-07-01,2077.42,SP500
